Task_Type,Workload_Level,Execution_Time,Resource_Type,Priority_Status,Energy_Consumption,Region,Time_Slot,Priority_Status_Raw,Priority,Region_Raw,Time_Slot_Raw,Predicted_Carbon_Emission,Decision
Order Processing,Low,30,VM_Micro,Critical,0.5,Green_Region,Peak,Critical,Critical,Green_Region,Peak,2.2,Execute_Immediately
Fleet Dispatch,Medium,31,VM_Small,High,0.62,Green_Region,Off-Peak,High,High,Green_Region,Off-Peak,1.786,Execute_Immediately
Inventory Update,High,32,VM_Medium,Low,0.74,Green_Region,Night,Low,Low,Green_Region,Night,0.922,Execute_Immediately
Quality Control,Critical,33,VM_Large,Medium,0.86,Green_Region,Weekend,Medium,Medium,Green_Region,Weekend,1.408,Execute_Immediately
Shipment Tracking,Low,34,VM_XLarge,Critical,0.98,ap-east,Peak,Critical,Critical,ap-east,Peak,2.344,Execute_Immediately
Supplier Management,Medium,35,Container_Small,High,1.1,ap-east,Off-Peak,High,High,ap-east,Off-Peak,1.93,Execute_Immediately
Order Processing,High,36,VM_Micro,Low,1.22,ap-east,Night,Low,Low,ap-east,Night,1.066,Execute_Immediately
Fleet Dispatch,Critical,37,VM_Small,Medium,1.34,ap-east,Weekend,Medium,Medium,ap-east,Weekend,1.552,Execute_Immediately
Inventory Update,Low,38,VM_Medium,Critical,1.46,ap-south,Peak,Critical,Critical,ap-south,Peak,2.488,Execute_Immediately
Quality Control,Medium,39,VM_Large,High,1.58,ap-south,Off-Peak,High,High,ap-south,Off-Peak,2.074,Execute_Immediately
Shipment Tracking,High,40,VM_XLarge,Low,1.7,ap-south,Night,Low,Low,ap-south,Night,1.21,Execute_Immediately
Supplier Management,Critical,41,Container_Small,Medium,1.82,ap-south,Weekend,Medium,Medium,ap-south,Weekend,1.696,Execute_Immediately
Order Processing,Low,42,VM_Micro,Critical,1.94,eu-central,Peak,Critical,Critical,eu-central,Peak,2.632,Execute_Immediately
Fleet Dispatch,Medium,43,VM_Small,High,2.06,eu-central,Off-Peak,High,High,eu-central,Off-Peak,2.218,Execute_Immediately
Inventory Update,High,44,VM_Medium,Low,2.18,eu-central,Night,Low,Low,eu-central,Night,1.354,Execute_Immediately
Quality Control,Critical,45,VM_Large,Medium,2.3,eu-central,Weekend,Medium,Medium,eu-central,Weekend,1.84,Execute_Immediately
Shipment Tracking,Low,46,VM_XLarge,Critical,2.42,us-east,Peak,Critical,Critical,us-east,Peak,2.776,Execute_Immediately
Supplier Management,Medium,47,Container_Small,High,2.54,us-east,Off-Peak,High,High,us-east,Off-Peak,2.362,Execute_Immediately
Order Processing,High,48,VM_Micro,Low,2.66,us-east,Night,Low,Low,us-east,Night,1.498,Execute_Immediately
Fleet Dispatch,Critical,49,VM_Small,Medium,2.78,us-east,Weekend,Medium,Medium,us-east,Weekend,1.984,Execute_Immediately
Inventory Update,Low,50,VM_Medium,Critical,2.9,us-west,Peak,Critical,Critical,us-west,Peak,2.92,Execute_Immediately
Quality Control,Medium,51,VM_Large,High,3.02,us-west,Off-Peak,High,High,us-west,Off-Peak,2.506,Execute_Immediately
Shipment Tracking,High,52,VM_XLarge,Low,3.14,us-west,Night,Low,Low,us-west,Night,1.642,Execute_Immediately
Supplier Management,Critical,53,Container_Small,Medium,3.26,us-west,Weekend,Medium,Medium,us-west,Weekend,2.128,Execute_Immediately
Order Processing,Low,54,VM_Micro,Critical,3.38,Green_Region,Peak,Critical,Critical,Green_Region,Peak,3.064,Green_Region_Immediate
