Task_Type,Workload_Level,Execution_Time,Resource_Type,Priority_Status,Energy_Consumption,Carbon_Emission,Emission_Category,Region,Time_Slot,Decision
Quality Control,Medium,53,Container_Small,High,0.54,0.04,Very Low,Green_Region,Weekend,Execute Immediately
Quality Control,Critical,208,Bare_Metal,Medium,6.11,2.33,Very High,ap-east,Weekend,Shift to Green Region + Night
Inventory Update,High,104,VM_Large,High,2.62,1.17,High,ap-east,Weekend,Shift to Green Region + Night
Supplier Management,Critical,183,VM_XLarge,High,4.2,2.56,Very High,ap-south,Off-Peak,Shift to Green Region + Night
Warehouse Allocation,Low,23,VM_Small,Low,0.44,0.19,Low,us-east,Night,Green Region Immediate
Quality Control,High,78,Container_Large,High,0.93,0.2,Low,us-west,Night,Green Region Immediate
Quality Control,Low,27,Container_Micro,Medium,0.24,0.1,Very Low,ap-east,Weekend,Green Region Immediate
Warehouse Allocation,Low,14,Container_Micro,Critical,0.11,0.06,Very Low,ap-south,Night,Green Region Immediate
Order Processing,Low,24,Container_Micro,High,0.22,0.11,Very Low,ap-east,Off-Peak,Green Region Immediate
Warehouse Allocation,High,66,Container_Large,High,1.06,0.62,Medium,ap-south,Peak,Schedule Night (Low Load)
Inventory Update,Medium,40,Container_Small,High,0.53,0.06,Very Low,Green_Region,Peak,Execute Immediately
Payment Settlement,Low,14,Container_Micro,Medium,0.13,0.01,Very Low,Green_Region,Off-Peak,Execute Immediately
Order Processing,High,78,VM_Large,High,2.64,1.06,High,us-east,Peak,Shift to Green Region + Night
Supplier Management,Low,26,VM_Small,Medium,0.69,0.16,Low,us-west,Peak,Green Region Immediate
Returns Processing,Critical,252,Bare_Metal,High,10.25,2.65,Very High,eu-central,Peak,Schedule Night (Low Load)
Order Processing,Critical,183,VM_XLarge,Low,3.98,1.07,High,eu-central,Off-Peak,Shift to Green Region + Night
Warehouse Allocation,High,97,Container_Large,Critical,1.16,0.55,Medium,ap-east,Night,Schedule Night (Low Load)
