Task_Type,Workload_Level,Execution_Time,Resource_Type,Priority_Status,Energy_Consumption,Region,Time_Slot,Priority_Status_Raw,Priority,Region_Raw,Time_Slot_Raw,Predicted_Carbon_Emission
Order Processing,Low,30,VM_Micro,Critical,0.5,Green_Region,Peak,Critical,Critical,Green_Region,Peak,2.2
Fleet Dispatch,Medium,31,VM_Small,High,0.62,Green_Region,Off-Peak,High,High,Green_Region,Off-Peak,1.786
Inventory Update,High,32,VM_Medium,Low,0.74,Green_Region,Night,Low,Low,Green_Region,Night,0.922
Quality Control,Critical,33,VM_Large,Medium,0.86,Green_Region,Weekend,Medium,Medium,Green_Region,Weekend,1.408
Shipment Tracking,Low,34,VM_XLarge,Critical,0.98,ap-east,Peak,Critical,Critical,ap-east,Peak,2.344
Supplier Management,Medium,35,Container_Small,High,1.1,ap-east,Off-Peak,High,High,ap-east,Off-Peak,1.93
Order Processing,High,36,VM_Micro,Low,1.22,ap-east,Night,Low,Low,ap-east,Night,1.066
Fleet Dispatch,Critical,37,VM_Small,Medium,1.34,ap-east,Weekend,Medium,Medium,ap-east,Weekend,1.552
Inventory Update,Low,38,VM_Medium,Critical,1.46,ap-south,Peak,Critical,Critical,ap-south,Peak,2.488
Quality Control,Medium,39,VM_Large,High,1.58,ap-south,Off-Peak,High,High,ap-south,Off-Peak,2.074
Shipment Tracking,High,40,VM_XLarge,Low,1.7,ap-south,Night,Low,Low,ap-south,Night,1.21
Supplier Management,Critical,41,Container_Small,Medium,1.82,ap-south,Weekend,Medium,Medium,ap-south,Weekend,1.696
Order Processing,Low,42,VM_Micro,Critical,1.94,eu-central,Peak,Critical,Critical,eu-central,Peak,2.632
Fleet Dispatch,Medium,43,VM_Small,High,2.06,eu-central,Off-Peak,High,High,eu-central,Off-Peak,2.218
Inventory Update,High,44,VM_Medium,Low,2.18,eu-central,Night,Low,Low,eu-central,Night,1.354
Quality Control,Critical,45,VM_Large,Medium,2.3,eu-central,Weekend,Medium,Medium,eu-central,Weekend,1.84
Shipment Tracking,Low,46,VM_XLarge,Critical,2.42,us-east,Peak,Critical,Critical,us-east,Peak,2.776
Supplier Management,Medium,47,Container_Small,High,2.54,us-east,Off-Peak,High,High,us-east,Off-Peak,2.362
Order Processing,High,48,VM_Micro,Low,2.66,us-east,Night,Low,Low,us-east,Night,1.498
Fleet Dispatch,Critical,49,VM_Small,Medium,2.78,us-east,Weekend,Medium,Medium,us-east,Weekend,1.984
Inventory Update,Low,50,VM_Medium,Critical,2.9,us-west,Peak,Critical,Critical,us-west,Peak,2.92
Quality Control,Medium,51,VM_Large,High,3.02,us-west,Off-Peak,High,High,us-west,Off-Peak,2.506
Shipment Tracking,High,52,VM_XLarge,Low,3.14,us-west,Night,Low,Low,us-west,Night,1.642
Supplier Management,Critical,53,Container_Small,Medium,3.26,us-west,Weekend,Medium,Medium,us-west,Weekend,2.128
Order Processing,Low,54,VM_Micro,Critical,3.38,Green_Region,Peak,Critical,Critical,Green_Region,Peak,3.064
Fleet Dispatch,Medium,55,VM_Small,High,3.5,Green_Region,Off-Peak,High,High,Green_Region,Off-Peak,2.65
Inventory Update,High,56,VM_Medium,Low,3.62,Green_Region,Night,Low,Low,Green_Region,Night,1.786
Quality Control,Critical,57,VM_Large,Medium,3.74,Green_Region,Weekend,Medium,Medium,Green_Region,Weekend,2.272
Shipment Tracking,Low,58,VM_XLarge,Critical,3.86,ap-east,Peak,Critical,Critical,ap-east,Peak,3.208
Supplier Management,Medium,59,Container_Small,High,3.98,ap-east,Off-Peak,High,High,ap-east,Off-Peak,2.794
Order Processing,High,60,VM_Micro,Low,4.1,ap-east,Night,Low,Low,ap-east,Night,1.93
Fleet Dispatch,Critical,61,VM_Small,Medium,4.22,ap-east,Weekend,Medium,Medium,ap-east,Weekend,2.416
Inventory Update,Low,62,VM_Medium,Critical,4.34,ap-south,Peak,Critical,Critical,ap-south,Peak,3.352
Quality Control,Medium,63,VM_Large,High,4.46,ap-south,Off-Peak,High,High,ap-south,Off-Peak,2.938
Shipment Tracking,High,64,VM_XLarge,Low,4.58,ap-south,Night,Low,Low,ap-south,Night,2.074
Supplier Management,Critical,65,Container_Small,Medium,4.7,ap-south,Weekend,Medium,Medium,ap-south,Weekend,2.56
Order Processing,Low,66,VM_Micro,Critical,4.82,eu-central,Peak,Critical,Critical,eu-central,Peak,3.496
Fleet Dispatch,Medium,67,VM_Small,High,4.94,eu-central,Off-Peak,High,High,eu-central,Off-Peak,3.082
Inventory Update,High,68,VM_Medium,Low,5.06,eu-central,Night,Low,Low,eu-central,Night,2.218
Quality Control,Critical,69,VM_Large,Medium,5.18,eu-central,Weekend,Medium,Medium,eu-central,Weekend,2.704
Shipment Tracking,Low,70,VM_XLarge,Critical,5.3,us-east,Peak,Critical,Critical,us-east,Peak,3.64
Supplier Management,Medium,71,Container_Small,High,5.42,us-east,Off-Peak,High,High,us-east,Off-Peak,3.226
Order Processing,High,72,VM_Micro,Low,5.54,us-east,Night,Low,Low,us-east,Night,2.362
Fleet Dispatch,Critical,73,VM_Small,Medium,5.66,us-east,Weekend,Medium,Medium,us-east,Weekend,2.848
Inventory Update,Low,74,VM_Medium,Critical,5.78,us-west,Peak,Critical,Critical,us-west,Peak,3.784
Quality Control,Medium,75,VM_Large,High,0.5,us-west,Off-Peak,High,High,us-west,Off-Peak,1.75
Shipment Tracking,High,76,VM_XLarge,Low,0.62,us-west,Night,Low,Low,us-west,Night,0.886
Supplier Management,Critical,77,Container_Small,Medium,0.74,us-west,Weekend,Medium,Medium,us-west,Weekend,1.372
Order Processing,Low,78,VM_Micro,Critical,0.86,Green_Region,Peak,Critical,Critical,Green_Region,Peak,2.308
Fleet Dispatch,Medium,79,VM_Small,High,0.98,Green_Region,Off-Peak,High,High,Green_Region,Off-Peak,1.894
