Task_Type,Workload_Level,Execution_Time,Resource_Type,Priority_Status,Energy_Consumption,Region,Time_Slot
Fleet Dispatch,Critical,78,VM_Micro,Critical,1.18,us-west,Off-Peak
Fleet Dispatch,Low,237,VM_Large,Critical,4.97,ap-east,Peak
Inventory Update,Critical,187,VM_Micro,Critical,1.18,ap-east,Off-Peak
Data Sync,High,149,Container_Small,Critical,7.08,us-east,Weekend
Data Sync,Critical,39,VM_Small,Critical,2.63,ap-east,Off-Peak
Data Sync,High,187,VM_XLarge,Low,6.1,us-east,Off-Peak
Fleet Dispatch,Critical,82,VM_Large,Medium,0.26,eu-central,Peak
Payment Settlement,Low,217,VM_XLarge,Medium,4.27,ap-east,Peak
Fraud Detection,Critical,19,VM_Medium,High,8.52,ap-east,Peak
Customer Analytics,Medium,294,Container_Small,Low,0.92,us-east,Weekend
Payment Settlement,Low,153,VM_Micro,Medium,7.73,eu-central,Peak
API Gateway,Low,173,VM_Small,Critical,4.12,ap-south,Night
Payment Settlement,Critical,29,VM_XLarge,Medium,1.57,us-east,Night
Payment Settlement,Low,289,Container_Micro,Low,0.47,eu-central,Weekend
Fraud Detection,Medium,215,VM_Micro,Medium,7.58,ap-east,Off-Peak
Payment Settlement,Critical,140,VM_Large,Critical,1.39,ap-south,Off-Peak
Order Processing,High,7,VM_Medium,High,6.84,ap-east,Weekend
Fleet Dispatch,High,68,VM_Small,Critical,6.74,us-west,Weekend
Fleet Dispatch,High,135,VM_Small,High,4.8,us-east,Weekend
Data Sync,High,220,VM_Medium,High,1.12,us-east,Weekend
Customer Analytics,High,150,VM_XLarge,Low,4.96,ap-south,Weekend
Inventory Update,Low,242,Container_Micro,Critical,6.02,eu-central,Weekend
Customer Analytics,Critical,223,VM_XLarge,Medium,4.99,ap-south,Night
Payment Settlement,High,255,VM_Large,Critical,2.62,us-east,Weekend
Fleet Dispatch,Medium,229,VM_Large,Medium,0.96,us-east,Night
Inventory Update,Critical,79,VM_Medium,Low,6.88,eu-central,Night
Order Processing,Low,291,VM_Large,Medium,2.06,ap-south,Peak
API Gateway,Medium,72,VM_XLarge,Medium,3.53,eu-central,Peak
Fraud Detection,High,161,VM_Medium,Low,7.42,eu-central,Weekend
Payment Settlement,High,87,VM_XLarge,Critical,8.39,ap-south,Off-Peak
Inventory Update,High,146,VM_XLarge,Low,2.98,ap-east,Off-Peak
Customer Analytics,High,86,VM_XLarge,High,1.56,ap-east,Off-Peak
Customer Analytics,Low,286,Container_Small,Medium,7.05,ap-south,Off-Peak
Data Sync,High,199,VM_Small,Low,8.68,ap-east,Off-Peak
Order Processing,Critical,148,VM_Small,Critical,8.9,ap-south,Weekend
API Gateway,High,127,VM_Micro,Critical,0.34,eu-central,Peak
API Gateway,Critical,16,VM_Medium,Medium,4.57,us-west,Night
Inventory Update,Medium,106,VM_Large,Low,0.58,ap-south,Night
Customer Analytics,Low,43,VM_Micro,Medium,0.65,us-west,Weekend
Customer Analytics,High,283,VM_Micro,Medium,6.11,ap-south,Off-Peak
Inventory Update,High,316,VM_Micro,Medium,0.83,eu-central,Off-Peak
Inventory Update,Low,318,Container_Small,Low,9.42,ap-east,Weekend
Inventory Update,Critical,92,Container_Small,Critical,7.44,ap-south,Weekend
Data Sync,Critical,184,VM_Small,Medium,6.69,eu-central,Night
Order Processing,Medium,247,VM_Micro,Low,1.36,ap-east,Off-Peak
Data Sync,Medium,186,VM_Medium,High,2.69,us-east,Off-Peak
Order Processing,Low,150,Container_Micro,Medium,5.76,us-west,Night
API Gateway,Low,198,VM_Micro,High,5.93,eu-central,Peak
Fraud Detection,Medium,303,VM_XLarge,Medium,5.41,ap-east,Night
Data Sync,Medium,177,Container_Small,Critical,6.25,us-east,Night
Data Sync,High,149,VM_XLarge,High,2.34,ap-south,Peak
Inventory Update,High,312,VM_Small,Low,3.1,us-east,Weekend
Fleet Dispatch,Medium,187,Container_Small,High,7.12,ap-south,Night
Payment Settlement,High,188,Container_Small,High,8.31,ap-east,Weekend
Order Processing,High,88,VM_Large,Critical,4.66,ap-south,Night
Order Processing,Low,47,VM_XLarge,Low,3.59,ap-east,Weekend
Fraud Detection,High,253,VM_Large,Critical,1.05,us-east,Off-Peak
Inventory Update,Critical,251,Container_Micro,Critical,6.58,eu-central,Peak
Payment Settlement,Critical,298,Container_Small,Critical,0.47,ap-south,Night
Data Sync,High,117,VM_Medium,Critical,0.79,ap-south,Weekend
API Gateway,Critical,213,VM_Large,High,8.65,ap-east,Peak
Inventory Update,High,118,VM_Large,Low,5.36,ap-south,Peak
Fleet Dispatch,Medium,263,VM_Micro,Medium,2.91,ap-south,Weekend
Fraud Detection,High,21,VM_Micro,High,7.0,ap-south,Peak
Order Processing,Critical,75,Container_Micro,High,2.68,us-west,Night
Fraud Detection,Low,314,VM_Medium,High,8.28,eu-central,Night
Fleet Dispatch,Critical,229,VM_Small,High,6.34,ap-east,Weekend
Data Sync,Medium,182,VM_Small,Critical,3.84,ap-south,Night
Data Sync,Medium,314,VM_XLarge,Medium,1.56,ap-east,Peak
API Gateway,Critical,167,VM_Medium,High,7.82,us-east,Weekend
Fraud Detection,Medium,136,VM_Micro,Low,4.47,us-west,Off-Peak
Customer Analytics,Medium,144,VM_Large,Medium,4.6,ap-south,Peak
Payment Settlement,Medium,310,VM_Micro,High,5.7,ap-south,Peak
Fleet Dispatch,Critical,290,VM_Large,Low,7.31,eu-central,Peak
Fleet Dispatch,Low,297,VM_Small,Critical,9.44,ap-south,Night
Payment Settlement,Low,57,VM_Large,High,3.47,us-west,Off-Peak
API Gateway,High,169,Container_Micro,Medium,0.72,us-east,Weekend
Payment Settlement,High,206,Container_Micro,Critical,2.52,ap-east,Off-Peak
Order Processing,Medium,90,VM_Medium,Medium,2.31,us-east,Weekend
Fleet Dispatch,Low,97,VM_Large,Low,7.01,ap-south,Off-Peak
API Gateway,Critical,120,VM_Medium,High,5.99,ap-south,Peak
Payment Settlement,Low,216,Container_Micro,Critical,6.82,eu-central,Weekend
Fraud Detection,Critical,124,Container_Small,High,6.82,ap-east,Peak
Order Processing,Low,76,VM_XLarge,Critical,1.76,us-east,Weekend
API Gateway,High,98,Container_Small,Low,3.35,us-west,Off-Peak
Customer Analytics,Low,297,VM_Large,Critical,6.74,ap-south,Off-Peak
Payment Settlement,Medium,128,VM_Micro,High,3.02,us-east,Off-Peak
Fleet Dispatch,Low,47,Container_Small,Medium,2.69,us-east,Peak
Inventory Update,High,274,VM_Micro,High,3.97,us-east,Weekend
Inventory Update,Low,309,VM_Medium,Critical,8.69,ap-east,Off-Peak
Inventory Update,Medium,37,Container_Micro,Critical,2.31,us-east,Off-Peak
API Gateway,High,299,VM_XLarge,Low,6.21,us-east,Off-Peak
Fraud Detection,Medium,301,VM_Micro,High,3.79,ap-south,Weekend
Fleet Dispatch,Critical,186,Container_Small,High,8.81,us-west,Off-Peak
API Gateway,Low,98,VM_Micro,Low,4.98,eu-central,Weekend
Order Processing,Low,43,VM_Small,Low,5.08,eu-central,Off-Peak
Customer Analytics,Medium,121,VM_Medium,Medium,2.57,ap-south,Night
Payment Settlement,Medium,219,VM_Small,Medium,7.62,us-east,Off-Peak
Inventory Update,Critical,170,Container_Micro,High,3.55,ap-east,Weekend
Fraud Detection,Low,133,VM_Micro,Critical,5.29,ap-south,Off-Peak
